CID	Name	Structure Path	Number of Atoms	Total Charge	HOMO-LUMO gap
1555464	16-(2-methylprop-2-enylsulfanyl)-12-phenylspiro[12,14,15,17-tetrazatetracyclo[8.7.0.02,7.013,17]heptadeca-1(10),2,4,6,13,15-hexaene-9,1'-cyclopentane]-11-one	/Users/marcelmueller/source/randommolecules/example/1555464/1555464_opt.xyz	59	0	2.139
1557570	2-methoxyethyl (3R,4R)-4-(2-chlorophenyl)-5-cyano-6-[2-(2,3-dimethylanilino)-2-oxoethyl]sulfanyl-2-methylidene-3,4-dihydro-1H-pyridine-3-carboxylate	/Users/marcelmueller/source/randommolecules/example/1557570/1557570_opt.xyz	64	0	2.591
1559469	(2E,6Z)-6-[[4-[2-(4-cyclohexylphenoxy)ethoxy]phenyl]methylidene]-2-ethylidene-5-imino-3H-[1,3,4]thiadiazolo[3,2-a]pyrimidin-7-one	/Users/marcelmueller/source/randommolecules/example/1559469/1559469_opt.xyz	66	0	1.814
1597794	N-[2-(5-chloronaphthalen-1-yl)-1,3-benzoxazol-5-yl]-3-fluorobenzamide	/Users/marcelmueller/source/randommolecules/example/1597794/1597794_opt.xyz	44	0	2.467
1624822	2-amino-1-(4-fluoro-3-nitrophenyl)-N-heptylpyrrolo[3,2-b]quinoxaline-3-carboxamide	/Users/marcelmueller/source/randommolecules/example/1624822/1624822_opt.xyz	59	0	0.988
1625711	N'-[2-hydroxy-1-[2-(4-methylanilino)-2-oxoethyl]indol-3-yl]imino-N-(2-methoxyphenyl)oxamide	/Users/marcelmueller/source/randommolecules/example/1625711/1625711_opt.xyz	59	0	1.395
1641349	2-(4-methoxyphenyl)-7-methyl-3-(naphthalen-1-ylmethoxy)chromen-4-one	/Users/marcelmueller/source/randommolecules/example/1641349/1641349_opt.xyz	54	0	2.338
1661518	2-(3,4-dimethylanilino)-N-(4-ethylphenyl)acetamide	/Users/marcelmueller/source/randommolecules/example/1661518/1661518_opt.xyz	43	0	2.571
1668315	2-(4-chlorophenyl)-3-methoxy-6-methylchromen-4-one	/Users/marcelmueller/source/randommolecules/example/1668315/1668315_opt.xyz	34	0	2.321
1676227	ethyl 4-[[1-[(4-chlorophenyl)methyl]-4-(4,6-dimethylpyrimidin-2-yl)sulfanyl-2,5-dioxopyrrol-3-yl]amino]benzoate	/Users/marcelmueller/source/randommolecules/example/1676227/1676227_opt.xyz	59	0	1.538
1679967	diethyl 5-[[2-(2-chlorobenzoyl)oxyacetyl]amino]-3-methylthiophene-2,4-dicarboxylate	/Users/marcelmueller/source/randommolecules/example/1679967/1679967_opt.xyz	50	0	2.678
1680647	1-methyl-4-[6-methyl-2-(4-methylphenyl)chromen-4-ylidene]piperazine-1,4-diium	/Users/marcelmueller/source/randommolecules/example/1680647/1680647_opt.xyz	51	2	1.815
1684698	4-[[4-chloro-1-(3-chlorophenyl)-2,5-dioxopyrrol-3-yl]amino]-N-(4-iodo-2-methylphenyl)benzamide	/Users/marcelmueller/source/randommolecules/example/1684698/1684698_opt.xyz	49	0	1.463
1688793	N-(2,4-dimethylphenyl)-5-methyl-3-[(4-nitrophenyl)methyl]-4-oxothieno[2,3-d]pyrimidine-6-carboxamide	/Users/marcelmueller/source/randommolecules/example/1688793/1688793_opt.xyz	52	0	1.210
1700668	propyl 3-[3-chloro-4-[3-[(4-chloro-2-methylphenyl)carbamoyl]anilino]-2,5-dioxopyrrol-1-yl]benzoate	/Users/marcelmueller/source/randommolecules/example/1700668/1700668_opt.xyz	61	0	1.078
1716621	methyl (2R)-2-[(2-chlorobenzoyl)amino]-3,3,3-trifluoro-2-(pyridin-1-ium-2-ylamino)propanoate	/Users/marcelmueller/source/randommolecules/example/1716621/1716621_opt.xyz	40	1	1.951
1726884	(Z)-1-[(4S)-4-(4-chlorophenyl)-2,2,4-trimethyl-3H-quinolin-1-yl]-3-(furan-2-yl)prop-2-en-1-one	/Users/marcelmueller/source/randommolecules/example/1726884/1726884_opt.xyz	53	0	2.684
1729185	N-(2,1,3-benzoxadiazol-4-ylmethylideneamino)-3,5-dinitrobenzamide	/Users/marcelmueller/source/randommolecules/example/1729185/1729185_opt.xyz	34	0	1.514
1731828	N-[(2S)-4-methylpentan-2-yl]pyridine-4-carboxamide	/Users/marcelmueller/source/randommolecules/example/1731828/1731828_opt.xyz	33	0	2.721
1735460	N-(2,3-dimethylphenyl)-2-(6-fluoro-2-phenylquinazolin-4-yl)sulfanylacetamide	/Users/marcelmueller/source/randommolecules/example/1735460/1735460_opt.xyz	50	0	2.099
1754389	(2S,8S)-2-(4-chlorophenyl)-6-[2-(4-fluorophenyl)ethyl]-3,6,17-triazatetracyclo[8.7.0.03,8.011,16]heptadeca-1(10),11,13,15-tetraene-4,7-dione	/Users/marcelmueller/source/randommolecules/example/1754389/1754389_opt.xyz	58	0	3.352
1797888	(7S)-4,7,15-trimethyl-7-phenyl-3,11-dioxatetracyclo[8.7.0.02,6.012,17]heptadeca-1(10),2(6),4,12(17),13,15-hexaene	/Users/marcelmueller/source/randommolecules/example/1797888/1797888_opt.xyz	48	0	3.019
1801496	(4R)-2-amino-1-(3-chloro-4-methylphenyl)-7,7-dimethyl-3-(4-methylbenzoyl)-4-(4-methylphenyl)-6,8-dihydro-4H-quinolin-5-one	/Users/marcelmueller/source/randommolecules/example/1801496/1801496_opt.xyz	71	0	2.148
1813080	2-chloro-5-[5-[(Z)-[2-(4-methoxyphenyl)imino-3-(2-methylpropyl)-4-oxo-1,3-thiazolidin-5-ylidene]methyl]furan-2-yl]benzoic acid	/Users/marcelmueller/source/randommolecules/example/1813080/1813080_opt.xyz	58	0	1.480
1820073	2-[(4E)-4-[(4-methylphenyl)methylidene]-5-oxo-1-prop-2-enylimidazol-2-yl]sulfanyl-N-propylacetamide	/Users/marcelmueller/source/randommolecules/example/1820073/1820073_opt.xyz	48	0	1.929
1845497	4-[[(5E)-5-[(5-bromo-2-methoxyphenyl)methylidene]-3-methyl-4-oxo-1,3-thiazolidin-2-ylidene]amino]benzoic acid	/Users/marcelmueller/source/randommolecules/example/1845497/1845497_opt.xyz	42	0	2.167
1852307	(8Z)-4-methyl-8-[(4-nitrophenyl)methylidene]furo[2,3-h]chromene-2,9-dione	/Users/marcelmueller/source/randommolecules/example/1852307/1852307_opt.xyz	37	0	1.933
1855869	N-(1-ethyl-[1,2,4]triazolo[4,3-a]quinoxalin-4-yl)-4-fluoro-N-propylbenzenesulfonamide	/Users/marcelmueller/source/randommolecules/example/1855869/1855869_opt.xyz	49	0	2.649
1869623	N-[4-[[5-[(Z)-[1-(furan-2-ylmethyl)-2,4,6-trioxo-1,3-diazinan-5-ylidene]methyl]-2-methoxyphenyl]methoxy]phenyl]acetamide	/Users/marcelmueller/source/randommolecules/example/1869623/1869623_opt.xyz	59	0	1.330
1913196	3-[4-[(5Z)-4-oxo-5-[(2-propoxyphenyl)methylidene]-1,3-thiazol-2-yl]piperazin-1-ium-1-yl]propanenitrile	/Users/marcelmueller/source/randommolecules/example/1913196/1913196_opt.xyz	52	1	2.088
1921495	2-[3-[(Z)-[1-(4-methoxyphenyl)-4,6-dioxo-2-sulfanylidene-1,3-diazinan-5-ylidene]methyl]indol-1-yl]-N-phenylacetamide	/Users/marcelmueller/source/randommolecules/example/1921495/1921495_opt.xyz	59	0	1.197
1928836	(5S)-5-(6-bromo-1,3-benzodioxol-5-yl)-11-methyl-8-thia-4,6-diaza-11-azoniatricyclo[7.4.0.02,7]trideca-1(9),2(7)-dien-3-one	/Users/marcelmueller/source/randommolecules/example/1928836/1928836_opt.xyz	42	1	3.071
1931976	2-(1,3-benzothiazol-2-ylsulfanyl)-N-[(5-methyl-3-oxo-2-phenyl-1H-pyrazol-4-yl)methylideneamino]acetamide	/Users/marcelmueller/source/randommolecules/example/1931976/1931976_opt.xyz	46	0	2.590
1933815	8-[(2-chlorophenyl)methylsulfanyl]-7-heptyl-3-methyl-9H-purin-7-ium-2,6-dione	/Users/marcelmueller/source/randommolecules/example/1933815/1933815_opt.xyz	54	1	1.902
1942292	(4R,5S)-4-benzoyl-1-butyl-5-phenylpyrrolidine-2,3-dione	/Users/marcelmueller/source/randommolecules/example/1942292/1942292_opt.xyz	46	0	2.342
1947655	(1S,2S)-1-(4-bromophenyl)-2-phenyl-3-pyrrolidin-1-ium-1-ylpropan-1-ol	/Users/marcelmueller/source/randommolecules/example/1947655/1947655_opt.xyz	45	1	3.576
1947753	(5Z)-1-(3,5-dimethylphenyl)-5-[(2-methyl-1,5-diphenylpyrrol-3-yl)methylidene]-1,3-diazinane-2,4,6-trione	/Users/marcelmueller/source/randommolecules/example/1947753/1947753_opt.xyz	61	0	2.011
1960613	3-[(3R)-2,3-dihydro-1,4-benzodioxin-3-yl]-5H-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole-6-thione	/Users/marcelmueller/source/randommolecules/example/1960613/1960613_opt.xyz	27	0	2.303
1980769	(2E)-2-cyano-2-[(5E)-5-(furan-2-ylmethylidene)-3-(2-methylphenyl)-4-oxo-1,3-thiazolidin-2-ylidene]-N-phenylacetamide	/Users/marcelmueller/source/randommolecules/example/1980769/1980769_opt.xyz	48	0	1.866
1982087	3-[5-[(E)-(1-methyl-4,6-dioxo-3-phenyl-2-sulfanylidene-1,3-diazinan-5-ylidene)methyl]furan-2-yl]benzoic acid	/Users/marcelmueller/source/randommolecules/example/1982087/1982087_opt.xyz	47	0	0.873
2003929	methyl (2S)-2-[[(2Z)-3-oxo-2-(thiophen-2-ylmethylidene)-1-benzofuran-6-yl]oxy]propanoate	/Users/marcelmueller/source/randommolecules/example/2003929/2003929_opt.xyz	37	0	2.076
2006853	[(2S)-2-[3-[(2S)-1-(dimethylazaniumyl)propan-2-yl]oxy-4-oxoquinazolin-2-yl]sulfanylpropyl]-dimethylazanium	/Users/marcelmueller/source/randommolecules/example/2006853/2006853_opt.xyz	55	2	3.078
2017094	(3R,4'R)-4'-(1-benzofuran-2-carbonyl)-1'-(2-morpholin-4-ylethyl)-1-prop-2-enylspiro[indole-3,5'-pyrrolidine]-2,2',3'-trione	/Users/marcelmueller/source/randommolecules/example/2017094/2017094_opt.xyz	65	0	1.495
2035198	benzyl (2S)-2-cyano-2-(3-piperidin-1-ylquinoxalin-2-yl)acetate	/Users/marcelmueller/source/randommolecules/example/2035198/2035198_opt.xyz	51	0	1.829
2035752	(2R)-1-[(2S,3S)-3-methyl-2-(4-oxo-1,2,3-benzotriazin-3-yl)pentanoyl]pyrrolidine-2-carboxylic acid	/Users/marcelmueller/source/randommolecules/example/2035752/2035752_opt.xyz	48	0	2.220
2037312	4-[[5-(3-chlorophenyl)-4-phenyl-1,2,4-triazol-3-yl]sulfanylmethyl]benzonitrile	/Users/marcelmueller/source/randommolecules/example/2037312/2037312_opt.xyz	43	0	2.705
2057251	(1R)-1-(3-prop-2-enoxyphenyl)-2-pyridin-1-ium-2-yl-1H-chromeno[2,3-c]pyrrole-3,9-dione	/Users/marcelmueller/source/randommolecules/example/2057251/2057251_opt.xyz	50	1	0.777
2069578	ethyl 3-[2-(2-methoxyethoxy)-2-oxoethyl]-5-methyl-4-oxothieno[2,3-d]pyrimidine-6-carboxylate	/Users/marcelmueller/source/randommolecules/example/2069578/2069578_opt.xyz	42	0	2.717
2071763	3-(4-butoxy-3-ethoxyphenyl)-N-phenylpropanamide	/Users/marcelmueller/source/randommolecules/example/2071763/2071763_opt.xyz	52	0	3.444
2078523	N-(2,4-difluorophenyl)-2-[(5R)-2-(3-methylanilino)-4-oxo-1,3-thiazol-5-yl]acetamide	/Users/marcelmueller/source/randommolecules/example/2078523/2078523_opt.xyz	41	0	3.011
2102192	(7-bromo-4-oxopyrido[1,2-a]pyrimidin-2-yl)methyl 3-[(3-chlorophenyl)-methylsulfamoyl]benzoate	/Users/marcelmueller/source/randommolecules/example/2102192/2102192_opt.xyz	51	0	2.491
2128457	3-[4-amino-5-[2-(1H-indol-3-yl)-2-oxoethyl]sulfanyl-1,2,4-triazol-3-yl]-N,N-diethylbenzenesulfonamide	/Users/marcelmueller/source/randommolecules/example/2128457/2128457_opt.xyz	57	0	2.409
2130877	(4R,5S)-1-(2-methoxyethyl)-4-[3-methyl-4-(2-methylpropoxy)benzoyl]-5-pyridin-4-ylpyrrolidine-2,3-dione	/Users/marcelmueller/source/randommolecules/example/2130877/2130877_opt.xyz	59	0	2.375
2172911	(5E)-5-[(Z)-3-(4-bromophenyl)prop-2-enylidene]-3-(4-methoxyphenyl)-2-sulfanylidene-1,3-thiazolidin-4-one	/Users/marcelmueller/source/randommolecules/example/2172911/2172911_opt.xyz	39	0	1.168
2237602	N-[4-(piperidine-1-carbonyl)phenyl]-2-[3-(trifluoromethyl)-5,6,7,8-tetrahydro-4H-cyclohepta[c]pyrazol-1-yl]acetamide	/Users/marcelmueller/source/randommolecules/example/2237602/2237602_opt.xyz	59	0	3.416
2248152	(3-nitrophenyl)-[4-(pentoxycarbonylamino)phenyl]sulfonylazanide	/Users/marcelmueller/source/randommolecules/example/2248152/2248152_opt.xyz	48	-1	0.863
2251244	N',N'-diethyl-N-[(3-methoxyphenyl)methylideneamino]oxamide	/Users/marcelmueller/source/randommolecules/example/2251244/2251244_opt.xyz	39	0	2.574
2260045	[2-[[2-(dimethylamino)quinolin-1-ium-4-yl]amino]-2-oxoethyl]-(2,4,4-trimethylpentan-2-yl)azanium	/Users/marcelmueller/source/randommolecules/example/2260045/2260045_opt.xyz	60	2	2.456
2285540	1-chloro-3-[3-(3-ethoxyphenoxy)propoxy]benzene	/Users/marcelmueller/source/randommolecules/example/2285540/2285540_opt.xyz	40	0	3.665
2305092	(Z)-2,3-dithiophen-2-ylprop-2-enoic acid	/Users/marcelmueller/source/randommolecules/example/2305092/2305092_opt.xyz	23	0	2.154
2324044	(5R)-1',3',3'-trimethylspiro[2H-1,2-oxazole-5,2'-indole]	/Users/marcelmueller/source/randommolecules/example/2324044/2324044_opt.xyz	32	0	3.659
2327075	(4-benzhydrylpiperazin-4-ium-1-yl)-(4-thiophen-2-ylsulfonyliminocyclohexa-2,5-dien-1-ylidene)methanolate	/Users/marcelmueller/source/randommolecules/example/2327075/2327075_opt.xyz	63	0	0.387
2328540	2,6-ditert-butyl-4-[2-(furan-2-ylmethylimino)-3-phenyl-1,3-thiazol-4-yl]phenol	/Users/marcelmueller/source/randommolecules/example/2328540/2328540_opt.xyz	65	0	2.859
2330340	1-(fluoren-9-ylideneamino)-3-phenylthiourea	/Users/marcelmueller/source/randommolecules/example/2330340/2330340_opt.xyz	39	0	1.322
2333578	3-(4-methylphenyl)-1-phenyl-N-[2-(4-sulfamoylphenyl)ethyl]pyrazole-4-carboxamide	/Users/marcelmueller/source/randommolecules/example/2333578/2333578_opt.xyz	57	0	2.764
2349987	[2-oxo-2-[[(1S)-1-phenylethyl]amino]ethyl] 2-(2-methylphenoxy)acetate	/Users/marcelmueller/source/randommolecules/example/2349987/2349987_opt.xyz	45	0	3.636
2354345	N-(1,3-benzothiazol-2-yl)-2-(4-chlorophenoxy)-N-(2,6-dimethylphenyl)acetamide	/Users/marcelmueller/source/randommolecules/example/2354345/2354345_opt.xyz	48	0	3.134
2363395	1-[(5,7-dichloro-2-hydroxy-1H-indol-3-yl)imino]-3-[[(2R)-oxolan-2-yl]methyl]thiourea	/Users/marcelmueller/source/randommolecules/example/2363395/2363395_opt.xyz	37	0	0.605
2365621	2-[[(4S)-5-cyano-4-(4-ethoxyphenyl)-2-oxo-3,4-dihydro-1H-pyridin-6-yl]sulfanyl]-N-(4-fluorophenyl)acetamide	/Users/marcelmueller/source/randommolecules/example/2365621/2365621_opt.xyz	50	0	2.221
2377197	4-chloro-3-(2,3-dihydroindol-1-ylsulfonyl)benzoate	/Users/marcelmueller/source/randommolecules/example/2377197/2377197_opt.xyz	33	-1	1.860
2377419	(2E)-4,4-dimethyl-3-oxo-2-[(5Z)-4-oxo-5-(pyridin-4-ylmethylidene)-3-[2-(trifluoromethyl)phenyl]-1,3-thiazolidin-2-ylidene]pentanenitrile	/Users/marcelmueller/source/randommolecules/example/2377419/2377419_opt.xyz	50	0	1.391
2377958	1-[(2-hydroxyphenyl)methylideneamino]-3-(4-morpholin-4-ylsulfonylphenyl)thiourea	/Users/marcelmueller/source/randommolecules/example/2377958/2377958_opt.xyz	48	0	1.657
2390012	(5-methyl-1,2-oxazol-3-yl)-(4-naphthalen-2-ylsulfonylazanidylphenyl)sulfonylazanide	/Users/marcelmueller/source/randommolecules/example/2390012/2390012_opt.xyz	45	-2	0.662
2392603	ethyl 2-[[2-[[(4S)-5-cyano-4-(4-methylphenyl)-2-oxo-3,4-dihydro-1H-pyridin-6-yl]sulfanyl]acetyl]amino]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylate	/Users/marcelmueller/source/randommolecules/example/2392603/2392603_opt.xyz	62	0	2.125
2415723	2-[3-[(3S)-3-methylpiperidin-1-yl]quinoxalin-2-yl]propanedinitrile	/Users/marcelmueller/source/randommolecules/example/2415723/2415723_opt.xyz	39	0	1.855
2417996	2-[[5-(1,3-benzodioxol-5-yl)-1,3,4-oxadiazol-2-yl]sulfanyl]-N-(3-methylbutylcarbamoyl)acetamide	/Users/marcelmueller/source/randommolecules/example/2417996/2417996_opt.xyz	47	0	2.695
2419155	1-(2,4-dihydroxyphenyl)-2-[[5-(3-piperidin-1-ylsulfonylphenyl)-1,3,4-oxadiazol-2-yl]sulfanyl]ethanone	/Users/marcelmueller/source/randommolecules/example/2419155/2419155_opt.xyz	53	0	2.564
2419759	[2-(4-ethylphenyl)-2-oxoethyl] 2-naphthalen-1-ylacetate	/Users/marcelmueller/source/randommolecules/example/2419759/2419759_opt.xyz	45	0	2.330
2429564	(E)-3-(4-chloro-3-nitrophenyl)-2-cyano-N-prop-2-enylprop-2-enamide	/Users/marcelmueller/source/randommolecules/example/2429564/2429564_opt.xyz	30	0	2.349
2433975	2-[(4-amino-5-propan-2-yl-1,2,4-triazol-3-yl)sulfanyl]-N-(2-cyanoethyl)-N-(2-fluorophenyl)acetamide	/Users/marcelmueller/source/randommolecules/example/2433975/2433975_opt.xyz	44	0	3.114
2441879	N-[2-(1H-indol-3-yl)ethyl]-3,4,5-trimethoxybenzamide	/Users/marcelmueller/source/randommolecules/example/2441879/2441879_opt.xyz	48	0	3.148
2450344	(2R)-N-(3,5-dichloropyridin-2-yl)-2-(4-methylquinolin-2-yl)sulfanylpropanamide	/Users/marcelmueller/source/randommolecules/example/2450344/2450344_opt.xyz	40	0	2.454
2459929	2-[(4S)-4-(2-chlorophenyl)-4-methyl-2,5-dioxoimidazolidin-1-yl]-N-(furan-2-ylmethyl)acetamide	/Users/marcelmueller/source/randommolecules/example/2459929/2459929_opt.xyz	41	0	3.972
2465105	(4-acetylphenyl)sulfonyl-[4-(2-methoxyanilino)phenyl]azanide	/Users/marcelmueller/source/randommolecules/example/2465105/2465105_opt.xyz	47	-1	0.827
2477197	2-(4-acetyl-2-methoxyphenoxy)-N-cycloheptylacetamide	/Users/marcelmueller/source/randommolecules/example/2477197/2477197_opt.xyz	48	0	2.930
2478947	[2-[(4-methylphenyl)methylamino]-2-oxoethyl] (E)-3-(2,4-dichlorophenyl)prop-2-enoate	/Users/marcelmueller/source/randommolecules/example/2478947/2478947_opt.xyz	42	0	2.670
2479717	[(2R)-1-(3-chloroanilino)-1-oxopropan-2-yl] 2,4,5-trimethoxybenzoate	/Users/marcelmueller/source/randommolecules/example/2479717/2479717_opt.xyz	47	0	3.148
2485446	N-[(3-chlorophenyl)methyl]-N-methyl-4-piperidin-1-ylsulfonylbenzamide	/Users/marcelmueller/source/randommolecules/example/2485446/2485446_opt.xyz	50	0	3.273
2514086	[2-[di(propan-2-yl)amino]-2-oxoethyl] 4-chloro-3-piperidin-1-ylsulfonylbenzoate	/Users/marcelmueller/source/randommolecules/example/2514086/2514086_opt.xyz	58	0	2.616
2541474	N-[2-(2-fluorophenoxy)ethyl]-3-methyl-4-oxophthalazine-1-carboxamide	/Users/marcelmueller/source/randommolecules/example/2541474/2541474_opt.xyz	41	0	2.592
2541746	(2S)-N-(1,3-benzodioxol-5-yl)-2-methyl-3-oxo-4H-1,4-benzothiazine-6-carboxamide	/Users/marcelmueller/source/randommolecules/example/2541746/2541746_opt.xyz	38	0	2.464
2545354	2-[benzenesulfonyl(benzyl)amino]-N-[(2-chlorophenyl)methyl]acetamide	/Users/marcelmueller/source/randommolecules/example/2545354/2545354_opt.xyz	50	0	3.295
2564560	2-(1,3-dioxoisoindol-2-yl)ethyl 2-methyl-3-nitrobenzoate	/Users/marcelmueller/source/randommolecules/example/2564560/2564560_opt.xyz	40	0	2.742
2567488	4-(difluoromethoxy)-3-methoxy-N-[(1S)-1-phenylethyl]benzamide	/Users/marcelmueller/source/randommolecules/example/2567488/2567488_opt.xyz	40	0	3.500
2576465	2-(4-cyanophenoxy)-N-cyclohexyl-N-[(3R)-1,1-dioxothiolan-3-yl]acetamide	/Users/marcelmueller/source/randommolecules/example/2576465/2576465_opt.xyz	50	0	3.635
2603342	(2R)-N-carbamoyl-2-(7-thia-9,11-diazatricyclo[6.4.0.02,6]dodeca-1(8),2(6),9,11-tetraen-12-ylsulfanyl)propanamide	/Users/marcelmueller/source/randommolecules/example/2603342/2603342_opt.xyz	35	0	2.621
2620429	cyanomethyl 4-methylsulfonyl-3-nitrobenzoate	/Users/marcelmueller/source/randommolecules/example/2620429/2620429_opt.xyz	27	0	2.550
2622102	[2-oxo-2-(pentan-3-ylamino)ethyl] 4-chloro-3-nitrobenzoate	/Users/marcelmueller/source/randommolecules/example/2622102/2622102_opt.xyz	39	0	2.153
2627971	N-(methylcarbamoyl)-2-(4-nitrophenoxy)acetamide	/Users/marcelmueller/source/randommolecules/example/2627971/2627971_opt.xyz	29	0	2.820
2629595	4-(3-chloro-4-methoxyphenyl)-3-ethylsulfanyl-5-phenyl-1,2,4-triazole	/Users/marcelmueller/source/randommolecules/example/2629595/2629595_opt.xyz	39	0	2.924
2629788	[(2S)-1-(2-methoxyanilino)-1-oxopropan-2-yl] 2,6-dimethoxybenzoate	/Users/marcelmueller/source/randommolecules/example/2629788/2629788_opt.xyz	47	0	3.622
2629867	[2-(2-methylpropylcarbamoylamino)-2-oxoethyl] (E)-3-(3-fluorophenyl)prop-2-enoate	/Users/marcelmueller/source/randommolecules/example/2629867/2629867_opt.xyz	42	0	2.908
2635754	2-ethoxy-N-[(2S)-3-methyl-1-oxo-1-(thiophen-2-ylmethylamino)butan-2-yl]benzamide	/Users/marcelmueller/source/randommolecules/example/2635754/2635754_opt.xyz	49	0	3.458
2644188	(5R)-5-ethyl-3-[(3-fluorophenyl)methylideneamino]-5-methylimidazolidine-2,4-dione	/Users/marcelmueller/source/randommolecules/example/2644188/2644188_opt.xyz	33	0	2.707
2658238	2-[[2-(tert-butylcarbamoylamino)-2-oxoethyl]-methylamino]-N-(5-chloro-2-methoxyphenyl)acetamide	/Users/marcelmueller/source/randommolecules/example/2658238/2658238_opt.xyz	51	0	2.931
2661351	N-[(4-methoxyphenyl)methyl]-2-[3-methyl-7-(2-methylpropyl)-2,4-dioxo-1-propylpyrimido[4,5-d]pyrimidin-5-yl]sulfanylacetamide	/Users/marcelmueller/source/randommolecules/example/2661351/2661351_opt.xyz	65	0	2.482
2664631	(2S)-N-[(1R)-1-(2,4-dichlorophenyl)ethyl]-2-[1-(2-ethoxyphenyl)tetrazol-5-yl]sulfanylpropanamide	/Users/marcelmueller/source/randommolecules/example/2664631/2664631_opt.xyz	51	0	3.061
2665109	[(2R)-1-(carbamoylamino)-1-oxopropan-2-yl] 4-(3-nitrophenyl)sulfonyloxybenzoate	/Users/marcelmueller/source/randommolecules/example/2665109/2665109_opt.xyz	45	0	1.413
2665592	2-(2-methoxyphenyl)-N-(3-methylsulfanylphenyl)acetamide	/Users/marcelmueller/source/randommolecules/example/2665592/2665592_opt.xyz	37	0	3.174
2675710	3-(1,3-dioxoisoindol-2-yl)-N-(4-methyl-2-oxochromen-7-yl)propanamide	/Users/marcelmueller/source/randommolecules/example/2675710/2675710_opt.xyz	44	0	1.802
2693460	2-[3-(2,3-dimethylphenyl)-4-oxoquinazolin-2-yl]sulfanyl-N-ethylacetamide	/Users/marcelmueller/source/randommolecules/example/2693460/2693460_opt.xyz	47	0	2.992
2698285	(4-ethoxy-3-methoxyphenyl)methyl-[2-(furan-2-ylmethylcarbamoylamino)-2-oxoethyl]-methylazanium	/Users/marcelmueller/source/randommolecules/example/2698285/2698285_opt.xyz	53	1	2.479
2699341	N-(5-chloro-2-cyanophenyl)-2-[(2,4-dichlorophenyl)methyl-methylamino]acetamide	/Users/marcelmueller/source/randommolecules/example/2699341/2699341_opt.xyz	38	0	2.041
2735490	1-benzyl-5-nitroindole-3-carbaldehyde	/Users/marcelmueller/source/randommolecules/example/2735490/2735490_opt.xyz	33	0	2.281
2743319	3-(4-tert-butylphenyl)-4-(furan-2-ylmethyl)-5-[(4-methylphenyl)methylsulfanyl]-1,2,4-triazole	/Users/marcelmueller/source/randommolecules/example/2743319/2743319_opt.xyz	57	0	3.305
2763291	4-(chloromethyl)-2-propan-2-yl-1,3-oxazole	/Users/marcelmueller/source/randommolecules/example/2763291/2763291_opt.xyz	20	0	4.618
2766579	1-methyl-3-[[6-oxo-1-[[3-(trifluoromethyl)phenyl]methyl]pyridine-3-carbonyl]amino]thiourea	/Users/marcelmueller/source/randommolecules/example/2766579/2766579_opt.xyz	41	0	1.266
2769579	2-(diethylaminomethyl)cyclopentan-1-one	/Users/marcelmueller/source/randommolecules/example/2769579/2769579_opt.xyz	31	0	2.677
2801564	2-(hydroxymethyl)-5-phenylmethoxy-1H-pyridin-4-one	/Users/marcelmueller/source/randommolecules/example/2801564/2801564_opt.xyz	30	0	3.147
2833903	1-(1-adamantyl)ethyl-trimethylazanium	/Users/marcelmueller/source/randommolecules/example/2833903/2833903_opt.xyz	44	1	6.906
2851430	1-(4-bromophenyl)-3-(4-fluoroanilino)pyrrolidine-2,5-dione	/Users/marcelmueller/source/randommolecules/example/2851430/2851430_opt.xyz	34	0	2.372
2875271	2-(2-chlorophenyl)-4-[(2,5-dimethoxyphenyl)methylidene]-1,3-oxazol-5-one	/Users/marcelmueller/source/randommolecules/example/2875271/2875271_opt.xyz	38	0	1.831
2879952	1-(3-bromophenyl)-5-[(2,4-dimethoxyphenyl)methylidene]-2-sulfanylidene-1,3-diazinane-4,6-dione	/Users/marcelmueller/source/randommolecules/example/2879952/2879952_opt.xyz	42	0	1.232
2900451	[2-oxo-2-(4-phenylphenyl)ethyl] 2-(1,3-dioxoisoindol-2-yl)-3-phenylpropanoate	/Users/marcelmueller/source/randommolecules/example/2900451/2900451_opt.xyz	60	0	2.408
2901452	2-cyclohexyl-6-[(2,4-dichlorophenyl)methylidene]-5-imino-[1,3,4]thiadiazolo[3,2-a]pyrimidin-7-one	/Users/marcelmueller/source/randommolecules/example/2901452/2901452_opt.xyz	42	0	1.806
2906829	4-chloro-3-(1,3-dioxo-3a,4,7,7a-tetrahydroisoindol-2-yl)benzamide	/Users/marcelmueller/source/randommolecules/example/2906829/2906829_opt.xyz	34	0	3.451
2912093	2-[(4-methoxy-3-methylphenyl)methylidene]indene-1,3-dione	/Users/marcelmueller/source/randommolecules/example/2912093/2912093_opt.xyz	35	0	2.140
2928923	ethyl 1-[2-[(3-chlorophenyl)methyl-(4-methylphenyl)sulfonylamino]acetyl]piperidine-4-carboxylate	/Users/marcelmueller/source/randommolecules/example/2928923/2928923_opt.xyz	62	0	3.314
2940942	methyl 1-(1-methoxy-2-methyl-1-oxopropan-2-yl)-3-oxo-1,2-dihydrobenzo[f]chromene-2-carboxylate	/Users/marcelmueller/source/randommolecules/example/2940942/2940942_opt.xyz	46	0	2.959
