CID	Name	Structure Path	Number of Atoms	Total Charge	HOMO-LUMO gap
393138	S-[2-[[4-(acetylsulfamoyl)phenyl]carbamoyl]phenyl] 4-methoxybenzenecarbothioate	/Users/marcelmueller/source/randommolecules/example/393138/393138_opt.xyz	53	0	2.735
399668	4-amino-3-(hydroxyamino)-1,2,4-triazin-5-one	/Users/marcelmueller/source/randommolecules/example/399668/399668_opt.xyz	15	0	2.368
404693	4-amino-4-oxo-2-[(4,4,4-trichloro-3-oxobut-1-enyl)amino]butanoic acid	/Users/marcelmueller/source/randommolecules/example/404693/404693_opt.xyz	26	0	3.003
411323	2-[[2-phenyl-1-(4-propan-2-ylphenyl)ethyl]amino]ethanol	/Users/marcelmueller/source/randommolecules/example/411323/411323_opt.xyz	46	0	3.774
443408	(1S,2S,6R,14R,15R,16R)-5-(cyclopropylmethyl)-16-(2-hydroxypropan-2-yl)-15-methoxy-13-oxa-5-azahexacyclo[13.2.2.12,8.01,6.02,14.012,20]icosa-8(20),9,11-trien-11-ol	/Users/marcelmueller/source/randommolecules/example/443408/443408_opt.xyz	66	0	3.556
443749	6-(2-methoxyethenyl)-1,3-benzodioxole-5-carboxylic acid	/Users/marcelmueller/source/randommolecules/example/443749/443749_opt.xyz	26	0	2.625
495863	3-(4-methoxyphenyl)-1,5-dimethyl-3,3a,6,6a-tetrahydropyrrolo[3,4-c][1,2]oxazol-4-one	/Users/marcelmueller/source/randommolecules/example/495863/495863_opt.xyz	37	0	3.974
529057	4-methyl-2,6-di(propan-2-yl)-1,3,5-dithiazinane	/Users/marcelmueller/source/randommolecules/example/529057/529057_opt.xyz	34	0	3.886
539111	(3,5,6-triacetyloxy-4-hydroxyoxan-2-yl)methyl acetate	/Users/marcelmueller/source/randommolecules/example/539111/539111_opt.xyz	44	0	4.729
545944	3-octoxybutane-1,2,4-triol	/Users/marcelmueller/source/randommolecules/example/545944/545944_opt.xyz	42	0	10.398
547332	N,N-dimethyl-6-phenylmethoxyhexan-1-amine	/Users/marcelmueller/source/randommolecules/example/547332/547332_opt.xyz	42	0	3.314
547918	methyl 6-(2,2-dibromoethenyl)-4-oxo-3-oxabicyclo[3.1.0]hexane-1-carboxylate	/Users/marcelmueller/source/randommolecules/example/547918/547918_opt.xyz	23	0	3.633
559660	2-[2-[2-(diethylamino)ethyldisulfanyl]ethylsulfanyl]-N,N-diethylethanamine	/Users/marcelmueller/source/randommolecules/example/559660/559660_opt.xyz	51	0	2.568
560323	1-(4-bromophenyl)-3-(4-hydroxybutylamino)pyrrolidine-2,5-dione	/Users/marcelmueller/source/randommolecules/example/560323/560323_opt.xyz	37	0	2.814
619674	4-[5-(2-chloro-5-nitrophenyl)-1,2,4-oxadiazol-3-yl]-1,2,5-oxadiazol-3-amine	/Users/marcelmueller/source/randommolecules/example/619674/619674_opt.xyz	26	0	1.684
626979	N-[4-(1,3-benzothiazol-2-ylsulfanyl)-3-chlorophenyl]acetamide	/Users/marcelmueller/source/randommolecules/example/626979/626979_opt.xyz	32	0	2.952
635760	13-methyl-2,3,4-tris(trimethylsilyloxy)-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one	/Users/marcelmueller/source/randommolecules/example/635760/635760_opt.xyz	80	0	3.349
638083	(E)-pent-3-en-1-yne	/Users/marcelmueller/source/randommolecules/example/638083/638083_opt.xyz	11	0	4.111
642407	(4R,5S)-5-(2,2-dichloroethyl)-4-methyloxolan-2-one	/Users/marcelmueller/source/randommolecules/example/642407/642407_opt.xyz	21	0	5.077
645960	6-ethyl-5-methyl-2-(pyridin-3-ylmethylsulfanyl)-1H-pyrimidin-4-one	/Users/marcelmueller/source/randommolecules/example/645960/645960_opt.xyz	33	0	3.006
646867	N-[2-(cyclopentylamino)-1-[4-(dimethylamino)phenyl]-2-oxoethyl]-N-(3-methoxyphenyl)furan-2-carboxamide	/Users/marcelmueller/source/randommolecules/example/646867/646867_opt.xyz	65	0	2.635
661948	2-(4-methyl-1-oxophthalazin-2-yl)-N-(2-morpholin-4-ylethyl)acetamide	/Users/marcelmueller/source/randommolecules/example/661948/661948_opt.xyz	46	0	2.597
673071	(2S)-3-(2-methoxyphenyl)-2-pyridin-4-yl-1,2-dihydroquinazolin-4-one	/Users/marcelmueller/source/randommolecules/example/673071/673071_opt.xyz	42	0	2.776
683901	benzyl N-[2-(3-methylanilino)-2-oxoethyl]carbamate	/Users/marcelmueller/source/randommolecules/example/683901/683901_opt.xyz	40	0	3.868
690003	(3S)-N-(benzylideneamino)-1-(4-ethylphenyl)-5-oxopyrrolidine-3-carboxamide	/Users/marcelmueller/source/randommolecules/example/690003/690003_opt.xyz	46	0	2.443
700740	ethyl 4-(3,4-dimethylanilino)-8-methylquinoline-3-carboxylate	/Users/marcelmueller/source/randommolecules/example/700740/700740_opt.xyz	47	0	2.337
702651	4-[(3-methylphenyl)methylsulfanyl]-5,6,7,8-tetrahydro-[1]benzothiolo[2,3-d]pyrimidine	/Users/marcelmueller/source/randommolecules/example/702651/702651_opt.xyz	40	0	2.801
707745	3-(4-methoxyphenyl)-5-propylfuro[3,2-g]chromen-7-one	/Users/marcelmueller/source/randommolecules/example/707745/707745_opt.xyz	43	0	2.461
724943	N-[4,5-dimethyl-3-(pyrrolidine-1-carbonyl)thiophen-2-yl]benzamide	/Users/marcelmueller/source/randommolecules/example/724943/724943_opt.xyz	43	0	2.436
733830	[4-[(2,5-dimethylphenyl)carbamoyl]phenyl] furan-2-carboxylate	/Users/marcelmueller/source/randommolecules/example/733830/733830_opt.xyz	42	0	2.374
765417	1-(3-chlorophenyl)-3-(2,3-dichlorophenyl)urea	/Users/marcelmueller/source/randommolecules/example/765417/765417_opt.xyz	28	0	3.579
769496	7-chloro-3-methyl-2-[(1S)-1-(methylamino)ethyl]quinazolin-4-one	/Users/marcelmueller/source/randommolecules/example/769496/769496_opt.xyz	31	0	2.834
772769	N-(furan-2-ylmethyl)-2-methoxy-N-[[(2R)-oxolan-2-yl]methyl]acetamide	/Users/marcelmueller/source/randommolecules/example/772769/772769_opt.xyz	37	0	4.577
773277	(4R)-5-acetyl-6-methyl-4-(2-phenylmethoxyphenyl)-3,4-dihydro-1H-pyrimidin-2-one	/Users/marcelmueller/source/randommolecules/example/773277/773277_opt.xyz	45	0	2.971
779110	5,6-dihydrobenzo[b][1]benzazepin-11-yl(pyrrolidin-1-yl)methanone	/Users/marcelmueller/source/randommolecules/example/779110/779110_opt.xyz	42	0	3.713
782701	6-methyl-3-[(4-phenylpiperazin-1-yl)methyl]chromen-4-one	/Users/marcelmueller/source/randommolecules/example/782701/782701_opt.xyz	47	0	1.737
784154	N-cyclopentyl-2-(3-formylindol-1-yl)acetamide	/Users/marcelmueller/source/randommolecules/example/784154/784154_opt.xyz	38	0	3.049
797118	N-(2-methoxy-5-methylphenyl)-4-(4-methoxyphenyl)butanamide	/Users/marcelmueller/source/randommolecules/example/797118/797118_opt.xyz	46	0	3.674
816486	2-[4-(diethylamino)phenyl]-N-[(2S)-1-phenylpropan-2-yl]acetamide	/Users/marcelmueller/source/randommolecules/example/816486/816486_opt.xyz	52	0	3.187
857068	1-[(1R)-1-(1-benzyltetrazol-5-yl)-3-methylbutyl]-4-methylpiperazine	/Users/marcelmueller/source/randommolecules/example/857068/857068_opt.xyz	52	0	2.831
861081	5-(4-methoxyphenyl)-2-(2H-tetrazol-5-ylmethyl)tetrazole	/Users/marcelmueller/source/randommolecules/example/861081/861081_opt.xyz	29	0	2.525
866261	2-[(2R)-2-ethyl-6-methyl-3-oxo-1,4-benzoxazin-4-yl]-N-(furan-2-ylmethyl)acetamide	/Users/marcelmueller/source/randommolecules/example/866261/866261_opt.xyz	44	0	3.432
873976	2-[(pyridin-3-ylmethylamino)methylidene]indene-1,3-dione	/Users/marcelmueller/source/randommolecules/example/873976/873976_opt.xyz	32	0	2.335
881083	9-tert-butyl-3-ethyl-3-methyl-1,5-dioxaspiro[5.5]undecane	/Users/marcelmueller/source/randommolecules/example/881083/881083_opt.xyz	48	0	10.679
884961	methyl 4-[(2-chloro-3-phenylprop-2-enoyl)amino]benzoate	/Users/marcelmueller/source/randommolecules/example/884961/884961_opt.xyz	36	0	2.734
911092	(2S)-1-[[(1S)-3,4-dihydro-1H-isochromen-1-yl]methylamino]-3-phenoxypropan-2-ol	/Users/marcelmueller/source/randommolecules/example/911092/911092_opt.xyz	46	0	3.480
926954	N-[(3,5-dimethylphenyl)carbamothioyl]-3-(2-methoxyphenyl)prop-2-enamide	/Users/marcelmueller/source/randommolecules/example/926954/926954_opt.xyz	44	0	1.202
937448	(5S,7S)-7-(3-chlorophenyl)-5-(3-methoxyphenyl)-4,5,6,7-tetrahydro-[1,2,4]triazolo[1,5-a]pyrimidine	/Users/marcelmueller/source/randommolecules/example/937448/937448_opt.xyz	41	0	3.243
960135	4-(acetylcarbamothioylamino)benzoic acid	/Users/marcelmueller/source/randommolecules/example/960135/960135_opt.xyz	26	0	1.826
979030	N-[4-[5-(5-chloro-2-methoxyphenyl)-1,2,4-oxadiazol-3-yl]phenyl]pyridine-2-carboxamide	/Users/marcelmueller/source/randommolecules/example/979030/979030_opt.xyz	44	0	2.600
