Name	Structure Path	Number of Atoms	Total Charge
Ac_Ac1C9Cl1H21N1O6P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C9Cl1H21N1O6P1/coord.xyz	40	1.0
Ac_AcH1Li2	/Users/marcelmueller/source/acqm/Ac/Ac_AcH1Li2/coord.xyz	4	0.0
Ac_Ac1C14H13N2O6S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C14H13N2O6S1/coord.xyz	37	-2.0
Ac_AcF2	/Users/marcelmueller/source/acqm/Ac/Ac_AcF2/coord.xyz	3	0.0
Ac_AcCO	/Users/marcelmueller/source/acqm/Ac/Ac_AcCO/coord.xyz	3	0.0
Ac_AcI1	/Users/marcelmueller/source/acqm/Ac/Ac_AcI1/coord.xyz	2	0.0
Ac_AcSiNa	/Users/marcelmueller/source/acqm/Ac/Ac_AcSiNa/coord.xyz	3	2.0
Ac_Ac1C10H15N4O9P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C10H15N4O9P1/coord.xyz	40	-1.0
Ac_Ac1C14H20N5O2	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C14H20N5O2/coord.xyz	42	2.0
Ac_Ac1C8H22N2O2	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C8H22N2O2/coord.xyz	35	3.0
Ac_AcKMgTe	/Users/marcelmueller/source/acqm/Ac/Ac_AcKMgTe/coord.xyz	4	-2.0
Ac_Ac1C8H14N3O3	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C8H14N3O3/coord.xyz	29	0.0
Ac_Ac1C8H6N1O7	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C8H6N1O7/coord.xyz	23	0.0
Ac_Ac1C10H7N7S4	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C10H7N7S4/coord.xyz	29	-1.0
Ac_Ac1C11H11N4S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C11H11N4S1/coord.xyz	28	2.0
Ac_AcGeSeTeFAs	/Users/marcelmueller/source/acqm/Ac/Ac_AcGeSeTeFAs/coord.xyz	6	0.0
Ac_Ac1C5H12N4O4S2	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C5H12N4O4S2/coord.xyz	28	-1.0
Ac_Ac1C11H16N1O10S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C11H16N1O10S1/coord.xyz	40	-2.0
Ac_AcONa	/Users/marcelmueller/source/acqm/Ac/Ac_AcONa/coord.xyz	3	2.0
Ac_Ac1C9H9N1O4	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C9H9N1O4/coord.xyz	24	1.0
Ac_AcBeMg	/Users/marcelmueller/source/acqm/Ac/Ac_AcBeMg/coord.xyz	3	-1.0
Ac_AcH0Li3	/Users/marcelmueller/source/acqm/Ac/Ac_AcH0Li3/coord.xyz	4	0.0
Ac_Ac1C12H20N5O4S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C12H20N5O4S1/coord.xyz	43	0.0
Ac_Ac1C10H30N2O2P3	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C10H30N2O2P3/coord.xyz	48	2.0
Ac_Ac1C16H20N3O6	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C16H20N3O6/coord.xyz	46	2.0
Ac_Ac1C11H15N3O1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C11H15N3O1/coord.xyz	31	3.0
Ac_Ac1C15H28N5O5P1S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C15H28N5O5P1S1/coord.xyz	56	1.0
Ac_Ac1C2F3H2N3O3P1S2	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C2F3H2N3O3P1S2/coord.xyz	17	0.0
Ac_Ac1C7Cl1H10O5	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C7Cl1H10O5/coord.xyz	24	0.0
Ac_Ac1C15H24N4O3P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C15H24N4O3P1/coord.xyz	48	2.0
Ac_AcBr1	/Users/marcelmueller/source/acqm/Ac/Ac_AcBr1/coord.xyz	2	0.0
Ac_Ac1C20H28N2O8P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C20H28N2O8P1/coord.xyz	60	0.0
Ac_Ac1C12H16N4O2S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C12H16N4O2S1/coord.xyz	36	1.0
Ac_Ac1C10H22N2O4P1S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C10H22N2O4P1S1/coord.xyz	41	0.0
Ac_Ac1C2H13N4O3	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C2H13N4O3/coord.xyz	23	2.0
Ac_AcBeBCTeClI	/Users/marcelmueller/source/acqm/Ac/Ac_AcBeBCTeClI/coord.xyz	7	1.0
Ac_Ac1C5F6H12N3O3P3S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C5F6H12N3O3P3S1/coord.xyz	34	1.0
Ac_AcCl3	/Users/marcelmueller/source/acqm/Ac/Ac_AcCl3/coord.xyz	4	0.0
Ac_AcCl4	/Users/marcelmueller/source/acqm/Ac/Ac_AcCl4/coord.xyz	5	0.0
Ac_AcS1	/Users/marcelmueller/source/acqm/Ac/Ac_AcS1/coord.xyz	2	0.0
Ac_AcKSnIBr	/Users/marcelmueller/source/acqm/Ac/Ac_AcKSnIBr/coord.xyz	5	-1.0
Ac_Ac1C18H18N4O2S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C18H18N4O2S1/coord.xyz	44	1.0
Ac_Ac1C11Cl1H21N3O4P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C11Cl1H21N3O4P1/coord.xyz	42	1.0
Ac_AcKTeSb	/Users/marcelmueller/source/acqm/Ac/Ac_AcKTeSb/coord.xyz	4	0.0
Ac_Ac1C1F3H3N3O4P1S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C1F3H3N3O4P1S1/coord.xyz	17	-1.0
Ac_Ac1C13H17N4O4	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C13H17N4O4/coord.xyz	39	2.0
Ac_AcCl5	/Users/marcelmueller/source/acqm/Ac/Ac_AcCl5/coord.xyz	6	0.0
Ac_AcCl2	/Users/marcelmueller/source/acqm/Ac/Ac_AcCl2/coord.xyz	3	0.0
Ac_AcH3Li2	/Users/marcelmueller/source/acqm/Ac/Ac_AcH3Li2/coord.xyz	6	0.0
Ac_AcSrCaI	/Users/marcelmueller/source/acqm/Ac/Ac_AcSrCaI/coord.xyz	4	0.0
Ac_Ac1C4H10I1N1O4	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C4H10I1N1O4/coord.xyz	21	-1.0
Ac_AcCaOI	/Users/marcelmueller/source/acqm/Ac/Ac_AcCaOI/coord.xyz	4	0.0
Ac_Ac1C17H15N1O6	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C17H15N1O6/coord.xyz	40	1.0
Ac_AcH6	/Users/marcelmueller/source/acqm/Ac/Ac_AcH6/coord.xyz	7	0.0
Ac_AcH1	/Users/marcelmueller/source/acqm/Ac/Ac_AcH1/coord.xyz	2	0.0
Ac_AcHMgBSnTeSr	/Users/marcelmueller/source/acqm/Ac/Ac_AcHMgBSnTeSr/coord.xyz	7	1.0
