Name	Structure Path	Number of Atoms	Total Charge
No_C3F3H4N1No1O3P1	/Users/marcelmueller/source/acqm/No/No_C3F3H4N1No1O3P1/coord.xyz	16	1.0
No_C2F1H8N5No1	/Users/marcelmueller/source/acqm/No/No_C2F1H8N5No1/coord.xyz	17	0.0
No_NoKSFCl	/Users/marcelmueller/source/acqm/No/No_NoKSFCl/coord.xyz	5	1.0
No_C7H15N4No1O3	/Users/marcelmueller/source/acqm/No/No_C7H15N4No1O3/coord.xyz	30	-1.0
No_C11H16N2No1O4	/Users/marcelmueller/source/acqm/No/No_C11H16N2No1O4/coord.xyz	34	0.0
No_NoH3	/Users/marcelmueller/source/acqm/No/No_NoH3/coord.xyz	4	0.0
No_C9F3H9N1No1O3P1	/Users/marcelmueller/source/acqm/No/No_C9F3H9N1No1O3P1/coord.xyz	27	0.0
No_NoH4Li1	/Users/marcelmueller/source/acqm/No/No_NoH4Li1/coord.xyz	6	0.0
No_NoH4	/Users/marcelmueller/source/acqm/No/No_NoH4/coord.xyz	5	0.0
No_C10Cl1F1H14N1No1O4P1	/Users/marcelmueller/source/acqm/No/No_C10Cl1F1H14N1No1O4P1/coord.xyz	33	-2.0
No_Br1C9H15N3No1O5	/Users/marcelmueller/source/acqm/No/No_Br1C9H15N3No1O5/coord.xyz	34	-1.0
No_NoNSeKN	/Users/marcelmueller/source/acqm/No/No_NoNSeKN/coord.xyz	5	-4.0
No_C2H4I1N4No1O2	/Users/marcelmueller/source/acqm/No/No_C2H4I1N4No1O2/coord.xyz	14	-1.0
No_C6H7N2No1O7S2	/Users/marcelmueller/source/acqm/No/No_C6H7N2No1O7S2/coord.xyz	25	-3.0
No_NoO1Be2	/Users/marcelmueller/source/acqm/No/No_NoO1Be2/coord.xyz	4	0.0
No_C14H20N1No1O3	/Users/marcelmueller/source/acqm/No/No_C14H20N1No1O3/coord.xyz	39	1.0
No_Br1C20H34N8No1O7P2S1	/Users/marcelmueller/source/acqm/No/No_Br1C20H34N8No1O7P2S1/coord.xyz	74	-3.0
No_C11H18N3No1O2	/Users/marcelmueller/source/acqm/No/No_C11H18N3No1O2/coord.xyz	35	1.0
No_C10H16N4No1O1P1	/Users/marcelmueller/source/acqm/No/No_C10H16N4No1O1P1/coord.xyz	33	-1.0
No_C6H13N1No1O6S1	/Users/marcelmueller/source/acqm/No/No_C6H13N1No1O6S1/coord.xyz	28	-2.0
No_NoHNaHF	/Users/marcelmueller/source/acqm/No/No_NoHNaHF/coord.xyz	5	1.0
No_NoH5	/Users/marcelmueller/source/acqm/No/No_NoH5/coord.xyz	6	0.0
No_NoH2	/Users/marcelmueller/source/acqm/No/No_NoH2/coord.xyz	3	0.0
No_C16F6H13N4No1P2	/Users/marcelmueller/source/acqm/No/No_C16F6H13N4No1P2/coord.xyz	42	1.0
No_NoNaBeCBe	/Users/marcelmueller/source/acqm/No/No_NoNaBeCBe/coord.xyz	5	1.0
No_NoCaSiPH	/Users/marcelmueller/source/acqm/No/No_NoCaSiPH/coord.xyz	5	2.0
No_NoF1	/Users/marcelmueller/source/acqm/No/No_NoF1/coord.xyz	2	0.0
No_NoI5	/Users/marcelmueller/source/acqm/No/No_NoI5/coord.xyz	6	0.0
No_NoI2	/Users/marcelmueller/source/acqm/No/No_NoI2/coord.xyz	3	0.0
No_NoO2Be2	/Users/marcelmueller/source/acqm/No/No_NoO2Be2/coord.xyz	5	0.0
No_NoF6	/Users/marcelmueller/source/acqm/No/No_NoF6/coord.xyz	7	0.0
No_C4Cl1H4N4No1O5	/Users/marcelmueller/source/acqm/No/No_C4Cl1H4N4No1O5/coord.xyz	19	-3.0
No_C5H7N1No1O5	/Users/marcelmueller/source/acqm/No/No_C5H7N1No1O5/coord.xyz	19	0.0
No_NoO1	/Users/marcelmueller/source/acqm/No/No_NoO1/coord.xyz	2	0.0
No_Br1C14F3H30N3No1O5P1	/Users/marcelmueller/source/acqm/No/No_Br1C14F3H30N3No1O5P1/coord.xyz	58	1.0
No_NoCNFBrCl	/Users/marcelmueller/source/acqm/No/No_NoCNFBrCl/coord.xyz	6	-1.0
No_C6F1H4N4No1	/Users/marcelmueller/source/acqm/No/No_C6F1H4N4No1/coord.xyz	16	-1.0
No_NoNaCOSeI	/Users/marcelmueller/source/acqm/No/No_NoNaCOSeI/coord.xyz	6	0.0
No_NoI3	/Users/marcelmueller/source/acqm/No/No_NoI3/coord.xyz	4	0.0
No_NoH3Li1	/Users/marcelmueller/source/acqm/No/No_NoH3Li1/coord.xyz	5	0.0
No_C11Cl1H27N1No1O4P1	/Users/marcelmueller/source/acqm/No/No_C11Cl1H27N1No1O4P1/coord.xyz	46	0.0
No_NoI4	/Users/marcelmueller/source/acqm/No/No_NoI4/coord.xyz	5	0.0
No_C3F1H8N3No1S1	/Users/marcelmueller/source/acqm/No/No_C3F1H8N3No1S1/coord.xyz	17	0.0
No_NoCl5	/Users/marcelmueller/source/acqm/No/No_NoCl5/coord.xyz	6	0.0
No_C4H12N2No1O6	/Users/marcelmueller/source/acqm/No/No_C4H12N2No1O6/coord.xyz	25	0.0
No_C12H18N1No1O6P1S1	/Users/marcelmueller/source/acqm/No/No_C12H18N1No1O6P1S1/coord.xyz	40	0.0
No_C13F1H17N2No1O3	/Users/marcelmueller/source/acqm/No/No_C13F1H17N2No1O3/coord.xyz	37	-2.0
No_NoCl2	/Users/marcelmueller/source/acqm/No/No_NoCl2/coord.xyz	3	0.0
No_NoH2Li1	/Users/marcelmueller/source/acqm/No/No_NoH2Li1/coord.xyz	4	0.0
No_NoICa	/Users/marcelmueller/source/acqm/No/No_NoICa/coord.xyz	3	1.0
No_C7H17I1N2No1O4P1S1	/Users/marcelmueller/source/acqm/No/No_C7H17I1N2No1O4P1S1/coord.xyz	34	-1.0
No_C2H3N4No1O2S2	/Users/marcelmueller/source/acqm/No/No_C2H3N4No1O2S2/coord.xyz	14	-1.0
No_C7H22N2No1O2P1	/Users/marcelmueller/source/acqm/No/No_C7H22N2No1O2P1/coord.xyz	35	1.0
No_NoCl3	/Users/marcelmueller/source/acqm/No/No_NoCl3/coord.xyz	4	0.0
No_NoCl4	/Users/marcelmueller/source/acqm/No/No_NoCl4/coord.xyz	5	0.0
No_Br1C5F3H15N1No1O2P1	/Users/marcelmueller/source/acqm/No/No_Br1C5F3H15N1No1O2P1/coord.xyz	29	1.0
No_NoOSeSrF	/Users/marcelmueller/source/acqm/No/No_NoOSeSrF/coord.xyz	5	0.0
No_C3H9N2No1O6	/Users/marcelmueller/source/acqm/No/No_C3H9N2No1O6/coord.xyz	21	-1.0
No_C12H27N3No1O5S1	/Users/marcelmueller/source/acqm/No/No_C12H27N3No1O5S1/coord.xyz	49	0.0
No_Br1C3F3H11No1O2P2	/Users/marcelmueller/source/acqm/No/No_Br1C3F3H11No1O2P2/coord.xyz	23	1.0
No_NoBr2	/Users/marcelmueller/source/acqm/No/No_NoBr2/coord.xyz	3	0.0
No_NoSr	/Users/marcelmueller/source/acqm/No/No_NoSr/coord.xyz	2	-2.0
No_NoH1Li2	/Users/marcelmueller/source/acqm/No/No_NoH1Li2/coord.xyz	4	0.0
No_NoBr5	/Users/marcelmueller/source/acqm/No/No_NoBr5/coord.xyz	6	0.0
No_C17F3H14No1O7P1	/Users/marcelmueller/source/acqm/No/No_C17F3H14No1O7P1/coord.xyz	43	0.0
No_C7F1H21No1O5P2	/Users/marcelmueller/source/acqm/No/No_C7F1H21No1O5P2/coord.xyz	37	0.0
No_C6H18N3No1O4P1	/Users/marcelmueller/source/acqm/No/No_C6H18N3No1O4P1/coord.xyz	33	0.0
No_C10H12N5No1	/Users/marcelmueller/source/acqm/No/No_C10H12N5No1/coord.xyz	28	1.0
No_NoSnNBrO	/Users/marcelmueller/source/acqm/No/No_NoSnNBrO/coord.xyz	5	-2.0
No_C7H7N2No1O2	/Users/marcelmueller/source/acqm/No/No_C7H7N2No1O2/coord.xyz	19	-1.0
No_C13H24N4No1O3	/Users/marcelmueller/source/acqm/No/No_C13H24N4No1O3/coord.xyz	45	0.0
No_NoS1	/Users/marcelmueller/source/acqm/No/No_NoS1/coord.xyz	2	0.0
No_NoBr4	/Users/marcelmueller/source/acqm/No/No_NoBr4/coord.xyz	5	0.0
No_NoH1Li3	/Users/marcelmueller/source/acqm/No/No_NoH1Li3/coord.xyz	5	0.0
No_Br1C8H13N2No1O4P1	/Users/marcelmueller/source/acqm/No/No_Br1C8H13N2No1O4P1/coord.xyz	30	1.0
No_NoBr3	/Users/marcelmueller/source/acqm/No/No_NoBr3/coord.xyz	4	0.0
No_NoPI	/Users/marcelmueller/source/acqm/No/No_NoPI/coord.xyz	3	-1.0
No_NoSiONaCl	/Users/marcelmueller/source/acqm/No/No_NoSiONaCl/coord.xyz	5	-2.0
No_NoBI	/Users/marcelmueller/source/acqm/No/No_NoBI/coord.xyz	3	0.0
No_C8H24N1No1O7P1	/Users/marcelmueller/source/acqm/No/No_C8H24N1No1O7P1/coord.xyz	42	0.0
No_NoH0Li3	/Users/marcelmueller/source/acqm/No/No_NoH0Li3/coord.xyz	4	0.0
No_C8H17I1N3No1O6P1	/Users/marcelmueller/source/acqm/No/No_C8H17I1N3No1O6P1/coord.xyz	37	0.0
No_NoSeMgS	/Users/marcelmueller/source/acqm/No/No_NoSeMgS/coord.xyz	4	-1.0
No_C2Cl1H5I1N1No1O4	/Users/marcelmueller/source/acqm/No/No_C2Cl1H5I1N1No1O4/coord.xyz	15	-2.0
No_C22H27N4No1O8P1	/Users/marcelmueller/source/acqm/No/No_C22H27N4No1O8P1/coord.xyz	63	0.0
No_C12H16N4No1O4	/Users/marcelmueller/source/acqm/No/No_C12H16N4No1O4/coord.xyz	37	0.0
No_NoH1	/Users/marcelmueller/source/acqm/No/No_NoH1/coord.xyz	2	0.0
No_NoH6	/Users/marcelmueller/source/acqm/No/No_NoH6/coord.xyz	7	0.0
No_C13Cl1H19N2No1O7P1S1	/Users/marcelmueller/source/acqm/No/No_C13Cl1H19N2No1O7P1S1/coord.xyz	45	-1.0
No_C5H5N3No1O8S1	/Users/marcelmueller/source/acqm/No/No_C5H5N3No1O8S1/coord.xyz	23	-2.0
No_NoHSrGaTe	/Users/marcelmueller/source/acqm/No/No_NoHSrGaTe/coord.xyz	5	0.0
No_C11H14N3No1O1	/Users/marcelmueller/source/acqm/No/No_C11H14N3No1O1/coord.xyz	30	1.0
Fm_FmF4	/Users/marcelmueller/source/acqm/Fm/Fm_FmF4/coord.xyz	5	0.0
Fm_C7Cl1Fm1H15N6O3P1	/Users/marcelmueller/source/acqm/Fm/Fm_C7Cl1Fm1H15N6O3P1/coord.xyz	34	0.0
Fm_FmF3	/Users/marcelmueller/source/acqm/Fm/Fm_FmF3/coord.xyz	4	0.0
Fm_C7Fm1H6I1N1O5	/Users/marcelmueller/source/acqm/Fm/Fm_C7Fm1H6I1N1O5/coord.xyz	21	-1.0
Fm_FmH1Li2	/Users/marcelmueller/source/acqm/Fm/Fm_FmH1Li2/coord.xyz	4	0.0
Fm_FmO2	/Users/marcelmueller/source/acqm/Fm/Fm_FmO2/coord.xyz	3	0.0
Fm_C7Fm1H20N1O7P1S2	/Users/marcelmueller/source/acqm/Fm/Fm_C7Fm1H20N1O7P1S2/coord.xyz	39	-1.0
Fm_Br1C13Fm1H24N1O6P2	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C13Fm1H24N1O6P2/coord.xyz	48	1.0
Fm_C1Fm1H4I1N2O1	/Users/marcelmueller/source/acqm/Fm/Fm_C1Fm1H4I1N2O1/coord.xyz	10	0.0
Fm_C7Fm1H7I1N6	/Users/marcelmueller/source/acqm/Fm/Fm_C7Fm1H7I1N6/coord.xyz	22	-1.0
Fm_FmF2	/Users/marcelmueller/source/acqm/Fm/Fm_FmF2/coord.xyz	3	0.0
Fm_FmI6	/Users/marcelmueller/source/acqm/Fm/Fm_FmI6/coord.xyz	7	0.0
Fm_FmI1	/Users/marcelmueller/source/acqm/Fm/Fm_FmI1/coord.xyz	2	0.0
Fm_FmF5	/Users/marcelmueller/source/acqm/Fm/Fm_FmF5/coord.xyz	6	0.0
Fm_FmCO	/Users/marcelmueller/source/acqm/Fm/Fm_FmCO/coord.xyz	3	1.0
Fm_Br1C11Fm1H21O7P1	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C11Fm1H21O7P1/coord.xyz	42	2.0
Fm_C16Fm1H28I2N6O3P1S1	/Users/marcelmueller/source/acqm/Fm/Fm_C16Fm1H28I2N6O3P1S1/coord.xyz	58	0.0
Fm_FmO4	/Users/marcelmueller/source/acqm/Fm/Fm_FmO4/coord.xyz	5	0.0
Fm_FmH1Li3	/Users/marcelmueller/source/acqm/Fm/Fm_FmH1Li3/coord.xyz	5	0.0
Fm_FmO3	/Users/marcelmueller/source/acqm/Fm/Fm_FmO3/coord.xyz	4	0.0
Fm_FmBr6	/Users/marcelmueller/source/acqm/Fm/Fm_FmBr6/coord.xyz	7	0.0
Fm_C1Fm1H1O11S3	/Users/marcelmueller/source/acqm/Fm/Fm_C1Fm1H1O11S3/coord.xyz	17	-4.0
Fm_FmGaTe	/Users/marcelmueller/source/acqm/Fm/Fm_FmGaTe/coord.xyz	3	1.0
Fm_Br1C17F3Fm1H16N4P1	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C17F3Fm1H16N4P1/coord.xyz	43	2.0
Fm_FmBr1	/Users/marcelmueller/source/acqm/Fm/Fm_FmBr1/coord.xyz	2	0.0
Fm_FmSrBSi	/Users/marcelmueller/source/acqm/Fm/Fm_FmSrBSi/coord.xyz	4	3.0
Fm_C10Fm1H20N2O8P1	/Users/marcelmueller/source/acqm/Fm/Fm_C10Fm1H20N2O8P1/coord.xyz	42	0.0
Fm_C3Fm1H5N4O4S2	/Users/marcelmueller/source/acqm/Fm/Fm_C3Fm1H5N4O4S2/coord.xyz	19	-2.0
Fm_FmH0Li3	/Users/marcelmueller/source/acqm/Fm/Fm_FmH0Li3/coord.xyz	4	0.0
Fm_C1Fm1H6N4O2	/Users/marcelmueller/source/acqm/Fm/Fm_C1Fm1H6N4O2/coord.xyz	14	1.0
Fm_C8F1Fm1H6N4O5S1	/Users/marcelmueller/source/acqm/Fm/Fm_C8F1Fm1H6N4O5S1/coord.xyz	26	-2.0
Fm_FmCl1	/Users/marcelmueller/source/acqm/Fm/Fm_FmCl1/coord.xyz	2	0.0
Fm_C7F1Fm1H16N4O3P1	/Users/marcelmueller/source/acqm/Fm/Fm_C7F1Fm1H16N4O3P1/coord.xyz	33	1.0
Fm_FmO2Be2	/Users/marcelmueller/source/acqm/Fm/Fm_FmO2Be2/coord.xyz	5	0.0
Fm_FmCl6	/Users/marcelmueller/source/acqm/Fm/Fm_FmCl6/coord.xyz	7	0.0
Fm_FmS2	/Users/marcelmueller/source/acqm/Fm/Fm_FmS2/coord.xyz	3	0.0
Fm_C1F1Fm1H3N3O6	/Users/marcelmueller/source/acqm/Fm/Fm_C1F1Fm1H3N3O6/coord.xyz	15	0.0
Fm_C7F3Fm1H12N1O2P1	/Users/marcelmueller/source/acqm/Fm/Fm_C7F3Fm1H12N1O2P1/coord.xyz	27	2.0
Fm_FmH3Li1	/Users/marcelmueller/source/acqm/Fm/Fm_FmH3Li1/coord.xyz	5	0.0
Fm_C6Fm1H19N5	/Users/marcelmueller/source/acqm/Fm/Fm_C6Fm1H19N5/coord.xyz	31	3.0
Fm_C2Cl1F1Fm1H7O4	/Users/marcelmueller/source/acqm/Fm/Fm_C2Cl1F1Fm1H7O4/coord.xyz	16	0.0
Fm_C7Fm1H15N5O2S1	/Users/marcelmueller/source/acqm/Fm/Fm_C7Fm1H15N5O2S1/coord.xyz	31	1.0
Fm_C9Fm1H8N3O2S2	/Users/marcelmueller/source/acqm/Fm/Fm_C9Fm1H8N3O2S2/coord.xyz	25	0.0
Fm_FmS3	/Users/marcelmueller/source/acqm/Fm/Fm_FmS3/coord.xyz	4	0.0
Fm_C8Fm1H15N3O4P1S1	/Users/marcelmueller/source/acqm/Fm/Fm_C8Fm1H15N3O4P1S1/coord.xyz	33	2.0
Fm_C4Fm1H12N3O2	/Users/marcelmueller/source/acqm/Fm/Fm_C4Fm1H12N3O2/coord.xyz	22	2.0
Fm_C7Fm1H5N4O5	/Users/marcelmueller/source/acqm/Fm/Fm_C7Fm1H5N4O5/coord.xyz	22	0.0
Fm_FmS4	/Users/marcelmueller/source/acqm/Fm/Fm_FmS4/coord.xyz	5	0.0
Fm_FmH2Li1	/Users/marcelmueller/source/acqm/Fm/Fm_FmH2Li1/coord.xyz	4	0.0
Fm_C4F3Fm1H8N5O4P1	/Users/marcelmueller/source/acqm/Fm/Fm_C4F3Fm1H8N5O4P1/coord.xyz	26	0.0
Fm_C13Fm1H24N1O6P1	/Users/marcelmueller/source/acqm/Fm/Fm_C13Fm1H24N1O6P1/coord.xyz	46	1.0
Fm_FmI	/Users/marcelmueller/source/acqm/Fm/Fm_FmI/coord.xyz	2	-1.0
Fm_C10F4Fm1H19N1O4P1	/Users/marcelmueller/source/acqm/Fm/Fm_C10F4Fm1H19N1O4P1/coord.xyz	40	2.0
Fm_FmSiBe	/Users/marcelmueller/source/acqm/Fm/Fm_FmSiBe/coord.xyz	3	1.0
Fm_Br1C4Fm1H13N3	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C4Fm1H13N3/coord.xyz	22	2.0
Fm_FmH2	/Users/marcelmueller/source/acqm/Fm/Fm_FmH2/coord.xyz	3	0.0
Fm_FmH5	/Users/marcelmueller/source/acqm/Fm/Fm_FmH5/coord.xyz	6	0.0
Fm_FmSeAs	/Users/marcelmueller/source/acqm/Fm/Fm_FmSeAs/coord.xyz	3	-3.0
Fm_Br1C5Fm1H9O6P1S1	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C5Fm1H9O6P1S1/coord.xyz	24	0.0
Fm_C12Fm1H18N4O5S3	/Users/marcelmueller/source/acqm/Fm/Fm_C12Fm1H18N4O5S3/coord.xyz	43	-1.0
Fm_C1Fm1H2N2O7S2	/Users/marcelmueller/source/acqm/Fm/Fm_C1Fm1H2N2O7S2/coord.xyz	15	-1.0
Fm_C2Fm1H4I1N1O4S1	/Users/marcelmueller/source/acqm/Fm/Fm_C2Fm1H4I1N1O4S1/coord.xyz	14	-1.0
Fm_FmH4	/Users/marcelmueller/source/acqm/Fm/Fm_FmH4/coord.xyz	5	0.0
Fm_FmH3	/Users/marcelmueller/source/acqm/Fm/Fm_FmH3/coord.xyz	4	0.0
Fm_Br1C11Fm1H14N4O5	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C11Fm1H14N4O5/coord.xyz	36	0.0
Fm_Br1C3Fm1H7N1O4S1	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C3Fm1H7N1O4S1/coord.xyz	18	0.0
Fm_C18F3Fm1H19O5P1	/Users/marcelmueller/source/acqm/Fm/Fm_C18F3Fm1H19O5P1/coord.xyz	47	2.0
Fm_FmO1	/Users/marcelmueller/source/acqm/Fm/Fm_FmO1/coord.xyz	2	0.0
Fm_C7Cl1Fm1H5N2O7	/Users/marcelmueller/source/acqm/Fm/Fm_C7Cl1Fm1H5N2O7/coord.xyz	23	-1.0
Fm_FmI4	/Users/marcelmueller/source/acqm/Fm/Fm_FmI4/coord.xyz	5	0.0
Fm_C14Fm1H24N2O6P1	/Users/marcelmueller/source/acqm/Fm/Fm_C14Fm1H24N2O6P1/coord.xyz	48	0.0
Fm_FmI3	/Users/marcelmueller/source/acqm/Fm/Fm_FmI3/coord.xyz	4	0.0
Fm_C15Fm1H13N2O4	/Users/marcelmueller/source/acqm/Fm/Fm_C15Fm1H13N2O4/coord.xyz	35	0.0
Fm_C12Cl1Fm1H14N2O3	/Users/marcelmueller/source/acqm/Fm/Fm_C12Cl1Fm1H14N2O3/coord.xyz	33	2.0
Fm_C16Fm1H24N3O7S1	/Users/marcelmueller/source/acqm/Fm/Fm_C16Fm1H24N3O7S1/coord.xyz	52	0.0
Fm_C5Fm1H13N3O6P1	/Users/marcelmueller/source/acqm/Fm/Fm_C5Fm1H13N3O6P1/coord.xyz	29	0.0
Fm_C10F3Fm1H14I1N3O1P2S2	/Users/marcelmueller/source/acqm/Fm/Fm_C10F3Fm1H14I1N3O1P2S2/coord.xyz	37	0.0
Fm_C3F1Fm1H11N5O3	/Users/marcelmueller/source/acqm/Fm/Fm_C3F1Fm1H11N5O3/coord.xyz	24	0.0
Fm_FmI2	/Users/marcelmueller/source/acqm/Fm/Fm_FmI2/coord.xyz	3	0.0
Fm_FmF6	/Users/marcelmueller/source/acqm/Fm/Fm_FmF6/coord.xyz	7	0.0
Fm_FmF1	/Users/marcelmueller/source/acqm/Fm/Fm_FmF1/coord.xyz	2	0.0
Fm_Br1C15Fm1H14N1O7	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C15Fm1H14N1O7/coord.xyz	39	-1.0
Fm_FmI5	/Users/marcelmueller/source/acqm/Fm/Fm_FmI5/coord.xyz	6	0.0
Fm_FmH4Li1	/Users/marcelmueller/source/acqm/Fm/Fm_FmH4Li1/coord.xyz	6	0.0
Fm_Br1C3Fm1N3	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C3Fm1N3/coord.xyz	8	-1.0
Fm_C5Fm1H17N2O6P1	/Users/marcelmueller/source/acqm/Fm/Fm_C5Fm1H17N2O6P1/coord.xyz	32	1.0
Fm_Fm1H7N3O4	/Users/marcelmueller/source/acqm/Fm/Fm_Fm1H7N3O4/coord.xyz	15	1.0
Fm_FmO1Be2	/Users/marcelmueller/source/acqm/Fm/Fm_FmO1Be2/coord.xyz	4	0.0
Fm_C5F2Fm1H8N3O7	/Users/marcelmueller/source/acqm/Fm/Fm_C5F2Fm1H8N3O7/coord.xyz	26	-2.0
Fm_C11Fm1H25I1N1O8P2	/Users/marcelmueller/source/acqm/Fm/Fm_C11Fm1H25I1N1O8P2/coord.xyz	49	0.0
Fm_FmBr2	/Users/marcelmueller/source/acqm/Fm/Fm_FmBr2/coord.xyz	3	0.0
Fm_FmBr5	/Users/marcelmueller/source/acqm/Fm/Fm_FmBr5/coord.xyz	6	0.0
Fm_C13F1Fm1H38N6O3	/Users/marcelmueller/source/acqm/Fm/Fm_C13F1Fm1H38N6O3/coord.xyz	62	2.0
Fm_C17Fm1H17N4O4	/Users/marcelmueller/source/acqm/Fm/Fm_C17Fm1H17N4O4/coord.xyz	43	2.0
Fm_Br1C6Fm1H11N1O2	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C6Fm1H11N1O2/coord.xyz	22	0.0
Fm_C9Fm1H12N6O12	/Users/marcelmueller/source/acqm/Fm/Fm_C9Fm1H12N6O12/coord.xyz	40	-3.0
Fm_C13Fm1H18N5O1	/Users/marcelmueller/source/acqm/Fm/Fm_C13Fm1H18N5O1/coord.xyz	38	2.0
Fm_C27Fm1H40N6O7S1	/Users/marcelmueller/source/acqm/Fm/Fm_C27Fm1H40N6O7S1/coord.xyz	82	1.0
Fm_C5F1Fm1H18N3O6P1S1	/Users/marcelmueller/source/acqm/Fm/Fm_C5F1Fm1H18N3O6P1S1/coord.xyz	36	0.0
Fm_C12Fm1H14N3O7S1	/Users/marcelmueller/source/acqm/Fm/Fm_C12Fm1H14N3O7S1/coord.xyz	38	-2.0
Fm_C4Fm1H14N2O2	/Users/marcelmueller/source/acqm/Fm/Fm_C4Fm1H14N2O2/coord.xyz	23	1.0
Fm_C4Fm1H11N5	/Users/marcelmueller/source/acqm/Fm/Fm_C4Fm1H11N5/coord.xyz	21	1.0
Fm_FmBr4	/Users/marcelmueller/source/acqm/Fm/Fm_FmBr4/coord.xyz	5	0.0
Fm_FmBr3	/Users/marcelmueller/source/acqm/Fm/Fm_FmBr3/coord.xyz	4	0.0
Fm_C9F3Fm1H13N2O3P1	/Users/marcelmueller/source/acqm/Fm/Fm_C9F3Fm1H13N2O3P1/coord.xyz	32	2.0
Fm_FmS1	/Users/marcelmueller/source/acqm/Fm/Fm_FmS1/coord.xyz	2	0.0
Fm_FmICa	/Users/marcelmueller/source/acqm/Fm/Fm_FmICa/coord.xyz	3	1.0
Fm_C6Fm1H15I1N2O12P1S2	/Users/marcelmueller/source/acqm/Fm/Fm_C6Fm1H15I1N2O12P1S2/coord.xyz	40	-2.0
Fm_Br1C8Fm1H9N1O5	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C8Fm1H9N1O5/coord.xyz	25	0.0
Fm_C1Fm1H6N3O7S1	/Users/marcelmueller/source/acqm/Fm/Fm_C1Fm1H6N3O7S1/coord.xyz	19	0.0
Fm_FmCl5	/Users/marcelmueller/source/acqm/Fm/Fm_FmCl5/coord.xyz	6	0.0
Fm_FmCl2	/Users/marcelmueller/source/acqm/Fm/Fm_FmCl2/coord.xyz	3	0.0
Fm_FmO2Be1	/Users/marcelmueller/source/acqm/Fm/Fm_FmO2Be1/coord.xyz	4	0.0
Fm_C25F3Fm1H23N7O4P1S1	/Users/marcelmueller/source/acqm/Fm/Fm_C25F3Fm1H23N7O4P1S1/coord.xyz	65	1.0
Fm_C2Fm1H7N3O3	/Users/marcelmueller/source/acqm/Fm/Fm_C2Fm1H7N3O3/coord.xyz	16	-1.0
Fm_C9Fm1H14I1N4O5	/Users/marcelmueller/source/acqm/Fm/Fm_C9Fm1H14I1N4O5/coord.xyz	34	0.0
Fm_C8Cl1Fm1H14N2O10S1	/Users/marcelmueller/source/acqm/Fm/Fm_C8Cl1Fm1H14N2O10S1/coord.xyz	37	-2.0
Fm_FmH3Li2	/Users/marcelmueller/source/acqm/Fm/Fm_FmH3Li2/coord.xyz	6	0.0
Fm_C6F3Fm1H18N4O4P1	/Users/marcelmueller/source/acqm/Fm/Fm_C6F3Fm1H18N4O4P1/coord.xyz	37	1.0
Fm_FmCl3	/Users/marcelmueller/source/acqm/Fm/Fm_FmCl3/coord.xyz	4	0.0
Fm_FmCl4	/Users/marcelmueller/source/acqm/Fm/Fm_FmCl4/coord.xyz	5	0.0
Fm_C12Fm1H30N4O1P1S1	/Users/marcelmueller/source/acqm/Fm/Fm_C12Fm1H30N4O1P1S1/coord.xyz	50	2.0
Fm_C7Fm1H20N1O4P2S1	/Users/marcelmueller/source/acqm/Fm/Fm_C7Fm1H20N1O4P2S1/coord.xyz	36	2.0
Fm_C11Cl1Fm1H12N2O1	/Users/marcelmueller/source/acqm/Fm/Fm_C11Cl1Fm1H12N2O1/coord.xyz	28	2.0
Fm_C6Fm1H18N2O6P2	/Users/marcelmueller/source/acqm/Fm/Fm_C6Fm1H18N2O6P2/coord.xyz	35	1.0
Fm_FmH6	/Users/marcelmueller/source/acqm/Fm/Fm_FmH6/coord.xyz	7	0.0
Fm_FmH1	/Users/marcelmueller/source/acqm/Fm/Fm_FmH1/coord.xyz	2	0.0
Fm_FmH2Li2	/Users/marcelmueller/source/acqm/Fm/Fm_FmH2Li2/coord.xyz	5	0.0
Fm_C5Cl1Fm1H13N1O4	/Users/marcelmueller/source/acqm/Fm/Fm_C5Cl1Fm1H13N1O4/coord.xyz	25	0.0
Fm_C4Cl2F1Fm1H8O1	/Users/marcelmueller/source/acqm/Fm/Fm_C4Cl2F1Fm1H8O1/coord.xyz	17	0.0
Fm_Br1C6Fm1H8N3	/Users/marcelmueller/source/acqm/Fm/Fm_Br1C6Fm1H8N3/coord.xyz	19	1.0
Fm_FmSiSCl	/Users/marcelmueller/source/acqm/Fm/Fm_FmSiSCl/coord.xyz	4	-1.0
Fm_C9Cl1F1Fm1H13N2O2	/Users/marcelmueller/source/acqm/Fm/Fm_C9Cl1F1Fm1H13N2O2/coord.xyz	29	0.0
Fm_C5F1Fm1H5N7	/Users/marcelmueller/source/acqm/Fm/Fm_C5F1Fm1H5N7/coord.xyz	19	0.0
